case_id,category,entry,control,params,precondition,count,result,evidence
MB-05-pre,MB,E3 scan row,Faces clear+2 taps on A,livePreview=on,A connected,1,PASS,"A serial lit=2 lastReason=custom_live_send @1789278159"
MB-05-switch,MB,E3 scan row,connect B,,A draft unsaved (2 lit),1,PASS,"editor shows B frame 34/370, undo disabled; B serial lit=34 lastReason=startup (nothing sent on switch) @1789278214; A unchanged lit=2"
MB-05-2,MB,E3,live preview tap 1 LED on B,,after switch,1,PASS,"B serial lit=35 custom_live_send @1789278254; A lit=2 accepted=4 unchanged"
MB-05-3,MB,E3,undo on B,,after tap,1,PASS,"editor back to 34, undo disabled (A drawing not reachable)"
MB-05-4a,MB,E1 控制对象 row,switch back to A,,B active; A draft discarded earlier,1,PASS,"editor shows A board display 2/370 with undo disabled; A serial accepted=4 unchanged (nothing sent on switch) @1789278317; not distinguishing (board shows same pixels) -> repeated as MB-05-4b with live preview off"
MB-05-4b-switch,MB,E1 控制对象 row,switch A->B with unsent draft,livePreview=off,A draft 5 lit unsent (A board lit=2),1,PASS,"editor shows B frame 34/370 已同步 undo disabled; A serial lit=2 accepted=4 unchanged @1789278360"
MB-05-1,MB,E1,Send (傳送) on B after switch,livePreview=off,after MB-05-4b-switch,1,PASS,"B: [HOST 1789278390.389] STATUS frameEncoding=packed-lsb-first frameBytes=47 lit=34 queued=0 accepted=4 lastReason=custom_face_send | A: [HOST 1789278390.417] STATUS frameEncoding=packed-lsb-first frameBytes=47 lit=2 queued=0 accepted=4 lastReason=custom_live_send"
MB-05-5,MB,E4 relaunch,force-quit + relaunch after discard,,B active; A 5-lit unsent draft discarded,1,PASS,"after relaunch app auto-reconnected to B; editor shows B frame 34/370 undo disabled, not A drawing. Observation: badge 未傳送 because restored adopted frame is treated as edited (pre-existing restoreDraft behaviour, reviewer note #4)"
MB-01-E2-1,MB,E2 Control Center 面板 menu,switch B->A,,only B connected (after relaunch),1,PASS,"B BLE disconnect @1789278515.116; A connect+subscribe+get_info @1789278515.2-516.8; editor shows A display 2/370 已同步 undo disabled"
MB-05-E2,MB,E2,discard on hot-swap,,B restored draft (34 lit 未傳送),1,PASS,"B draft discarded; editor adopted A frame; A received no frame (checked next status)"
MB-10,MB,E2,switch to board already connected in another session,,precondition not met (A not connected after relaunch),0,NOT_RUN,"retry after connecting both boards"
MB-01-E2-label,MB,E2,控制对象 list after hot-swap,,after MB-01-E2-1,1,PASS,"list shows 1 online RinaBoard-80B54EF48E09 (A), transport 蓝牙 -40 dBm, name A"
MB-E2-STALE-SESSION,MB,E2 then E3 saved row,tap saved B row after Control Center hot-swap B->A,,session created for B at launch now connected to A,2,FAIL,"2 taps @1789278590/1789278623: no UI feedback, no BLE connect on B or A (serial). Cause: switchBoard reuses active BoardConnection (BoardControlCenterView.swift:167-175) but BoardSession.boardID stays B and aliases gain A's peripheral (BoardSessionStore.swift:24-42); ConnectionView.swift:199-200 selectSession(B) returns that session and isRequestedBoard()==true -> silent return"
MB-02-setup / MB-E2-STALE-SESSION-control,MB,E3 saved row (fresh sessions after relaunch),connect B while A connected,,A active only,1,PASS,"B BLE connect+subscribe+get_info @1789278749-751; A no disconnect; 控制对象 shows 2 online, B active (-61 dBm). Confirms saved-row path works until an E2 hot-swap makes the session identity stale"
MB-10,MB,E2 Control Center 面板,hot-swap active session (B) to A while A connected in another session,,2 online: A session + B session(active),1,FAIL,"B BLE disconnect @1789278814.216; A: no new BLE connect (same phone link) but a second handshake on slot 0: subscribe seq=137, get_info x3 @814.3-815.1 -> two app sessions appear to share one BLE link to A; editor shows A 2/370 已同步"
MB-10-list,MB,E2,控制对象 list after MB-10,,after MB-10,1,FAIL,"list shows '2 块在线' with BOTH rows RinaBoard-80B54EF48E09 (A); B no longer listed/connected. Two sessions attached to the same board over one BLE link"
MB-10-cmd,MB,E2,one › tap with duplicate sessions on A,,after MB-10,1,PASS,"A faceIndex 7->8 (exactly one step) @1789278892; B received 0 commands"
