case_id,source,preconditions,steps,expected,status,environment,evidence,actual_result,remaining_or_blocker
NAV-001,FEATURE_CASES.md:70,全新安装/清空偏好,启动 App；等待启动层完成,首屏为“控制”；底栏恰有“控制/文字/口型/演出/设置”五个同级标签；启动层最终不拦截触摸,未测试,冻结产品；iPhone SE第3代 / iOS26.5模拟器 / zh-Hans；修订定位harness；另iPhone17Pro/iOS27,evidence/frozen-baseline.log:1905#testAllTabsPortraitAndSupportedRotationScreenshots; evidence/se.log:540; evidence/ios27.log:750,部分自动化证据：五标签切换与截图通过；精确五同级首次启动、20次草稿保留、全部支持方向/键盘/sheet/iPad未覆盖；iPhone横向请求截图不证明支持横屏；testAllTabsPortraitAndSupportedRotationScreenshots=通过；五标签离线切换、发送按钮禁用、后台返回控制选择通过；不证明20次切换/草稿/全生命周期完整用例,完整原用例仍未执行；须补原文中未覆盖的UI/边界/生命周期/设备步骤，不能按子测试通过数标整例通过
NAV-002,FEATURE_CASES.md:71,`记住上次的标签页` 关闭,切到任一非控制标签；终止并重启,仍回到控制标签,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行,FEATURE_CASES.md:71（仅用例定义，无运行证据）,无完整运行证据；静态设计不计通过,尚未逐步执行全部步骤/预期
NAV-003,FEATURE_CASES.md:72,`记住上次的标签页` 开启,依次选“文字”“演出”；终止重启,每次重启恢复最后选择的有效标签,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行,FEATURE_CASES.md:72（仅用例定义，无运行证据）,无完整运行证据；静态设计不计通过,尚未逐步执行全部步骤/预期
NAV-004,FEATURE_CASES.md:73,可传启动参数,分别以 `control/faces/text/lipSync/lipsync/presetLive/liveVideo/video/settings/debug/connect/未知值` 启动,旧值映射到新入口；`faces→控制`、`debug/connect→设置子页`、未知值→控制；无第六标签,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行,FEATURE_CASES.md:73（仅用例定义，无运行证据）,无完整运行证据；静态设计不计通过,尚未逐步执行全部步骤/预期
NAV-005,FEATURE_CASES.md:74,iOS 26.5，未连接,点底部面板附件的展开区,打开“连接”sheet；可完成关闭；主标签选择不被替换,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行,FEATURE_CASES.md:74（仅用例定义，无运行证据）,无完整运行证据；静态设计不计通过,尚未逐步执行全部步骤/预期；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
NAV-006,FEATURE_CASES.md:75,iOS 26.5，已连接,点底部面板附件；在 medium/large detent 间拖动；交互下拉关闭,打开“面板控制”sheet；两档可用，背景交互符合系统行为；关闭回到原标签,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）,无完整运行证据；静态设计不计通过,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设
NAV-007,FEATURE_CASES.md:76,iOS 17.x,打开设置,不显示 iOS 26 底部附件；设置首部提供唯一“面板控制中心”入口,阻塞,ENV-PHONE-S / iOS17.x（未安装runtime）,evidence/runtimes.json,无完整运行证据；静态设计不计通过,当前无iOS17 runtime；新系统截图不替代最低系统验收
NAV-008,FEATURE_CASES.md:77,iOS 26.5，任一前四标签，未连接/已连接各一次,点页面中的设备状态行（若该 OS 显示）；旧系统重点执行,未连接进入连接 sheet；已连接进入面板控制 sheet；均可关闭并保留草稿,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）,无完整运行证据；静态设计不计通过,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设；旧入口/行号需按SNAPSHOT_DELTA.md重绑，模型通过不证明冻结UI可达
NAV-009,FEATURE_CASES.md:78,口型运行中,切到其他标签；返回口型,麦克风立即释放；口型状态停止并闭嘴；不会在后台继续采集,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）,无完整运行证据；静态设计不计通过,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设
NAV-010,FEATURE_CASES.md:79,文字/演出/控制各有未提交草稿或当前选择,在五标签间来回切换 20 次,App 级模型保持内容；无意外重置、重复 sheet 或导航错位,未测试,冻结产品；iPhone SE第3代 / iOS26.5模拟器 / zh-Hans；修订定位harness；另iPhone17Pro/iOS27,evidence/frozen-baseline.log:1905#testAllTabsPortraitAndSupportedRotationScreenshots; evidence/se.log:540; evidence/ios27.log:750,部分自动化证据：五标签切换与截图通过；精确五同级首次启动、20次草稿保留、全部支持方向/键盘/sheet/iPad未覆盖；iPhone横向请求截图不证明支持横屏；testAllTabsPortraitAndSupportedRotationScreenshots=通过；五标签离线切换、发送按钮禁用、后台返回控制选择通过；不证明20次切换/草稿/全生命周期完整用例,完整原用例仍未执行；须补原文中未覆盖的UI/边界/生命周期/设备步骤，不能按子测试通过数标整例通过
NAV-011,FEATURE_CASES.md:80,任一活动状态,App 进入后台再回前台,口型停止；演出暂停；控制与文字草稿持久化；文字预览循环按需恢复,阻塞,冻结产品；iPhone SE第3代 / iOS26.5模拟器 / zh-Hans；修订定位harness；另iPhone17Pro/iOS27,evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）; evidence/se.log:892; evidence/ios27.log:994,无完整运行证据；静态设计不计通过；真实TextEditor输入中英日emoji换行，后台及重启恢复文字通过；速度/控制草稿/存储失败等原用例剩余步骤未测,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设
NAV-012,FEATURE_CASES.md:81,已连接且正在自动重连/重同步,快速断开、重连、切换面板,旧重同步结果不覆盖新连接；表情、文字和控制状态属于当前连接代次,阻塞,待真机/370 LED测试板；BLE/TCP/系统权限或外设条件依用例；模型子项在SE3/iOS26.5专用模拟器完成（冻结产品+新增harness）,evidence/frozen-baseline.log:1714#testLateCompletionFromSupersededConnectCannotOverwriteNewConnection; evidence/serial-status.txt; evidence/serial-retry.txt; 主流程DeviceHub执行记录（未落独立日志）; evidence/models-retry.log:129#testUntouchedEditorAdoptsBoardFrameButEditedDraftRejectsLaterBoardFrame,部分自动化证据：底层旧connect晚完成不覆盖新transport/代次通过；ViewModel、设备名与面板库隔离未全部覆盖；testLateCompletionFromSupersededConnectCannotOverwriteNewConnection=通过；离线模型子项testUntouchedEditorAdoptsBoardFrameButEditedDraftRejectsLaterBoardFrame通过；不证明触摸/触感/UI/真实循环与面板时序,实板status两次读取0字节；DeviceHub无全屏操作API且应用调用超时，未形成可执行真机/实板验收链路。不得用模拟器替代；键盘/指针例还需相应外设
BOOT-001,FEATURE_CASES.md:82,正常动效,冷启动；录屏首帧至主界面,启动层先出现；瀑布与退场连续；退场后完全移除；主页面不“呼吸式”重排,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行,FEATURE_CASES.md:82（仅用例定义，无运行证据）,无完整运行证据；静态设计不计通过,尚未逐步执行全部步骤/预期
BOOT-002,FEATURE_CASES.md:83,减少动态效果开启,冷启动与 Debug 中重播,瀑布简化；iOS 26 控制中心不用 zoom 转场；任务仍可完成,未测试,冻结版待验收；按前置条件执行；环境结果见COVERAGE.md；本用例未覆盖部分仍待执行,FEATURE_CASES.md:83（仅用例定义，无运行证据）,无完整运行证据；静态设计不计通过,尚未逐步执行全部步骤/预期
