case_id,layer,load,seed,status,key_metrics,evidence
OBS-b-lite-status-drops-device,BoardConnection.applyStatus,full GET_STATUS then 1 lite EV_STATUS,-,FAIL,connection_wifi_after=192.168.1.20;device_after=nil;device_before=RinaChanBoard;lite_applied=True;status_wifi_after=nil;uptime_after=-1;uptime_before=1234,StressDeviceObservationTests/testObsB_LiteStatusPushKeepsDeviceIdentity | logs/ios/02_p0.log
P0-3-more-aggregation-1MiB,BoardConnection.route MORE,"256 x 4096B MORE fragments, no terminal, timeout 8s",-,PASS,accumulated_bytes_peak=1048576;footprint_after_mib=114.159;footprint_base_mib=113.627;footprint_peak_mib=114.94;fragments_fed=256;ingest_complete_before_timeout=True;ingest_ms=43.774;ingest_ms_per_mib_series=44;outcome=timeout;pending_after=0;released=True;resolved_after_s=8.005;rss_after_mib=386;rss_base_mib=377;rss_peak_mib=384.297,StressMemoryEventTests/testP0_3_MoreAggregationWithoutTerminalFrame | logs/ios/02_p0.log
P0-3-more-aggregation-4MiB,BoardConnection.route MORE,"1024 x 4096B MORE fragments, no terminal, timeout 8s",-,PASS,accumulated_bytes_peak=4194304;footprint_after_mib=110.83;footprint_base_mib=114.174;footprint_peak_mib=116.174;fragments_fed=1024;ingest_complete_before_timeout=True;ingest_ms=185.271;ingest_ms_per_mib_series=42|110|11|22;outcome=timeout;pending_after=0;released=True;resolved_after_s=8.003;rss_after_mib=384.547;rss_base_mib=386.031;rss_peak_mib=390.016,StressMemoryEventTests/testP0_3_MoreAggregationWithoutTerminalFrame | logs/ios/02_p0.log
P0-3-more-aggregation-16MiB,BoardConnection.route MORE,"4096 x 4096B MORE fragments, no terminal, timeout 8s",-,PASS,accumulated_bytes_peak=16777216;footprint_after_mib=110.799;footprint_base_mib=110.83;footprint_peak_mib=112.83;fragments_fed=4096;ingest_complete_before_timeout=True;ingest_ms=873.473;ingest_ms_per_mib_series=53|104|8|14|21|26|34|41|50|53|59|70|73|81|88|97;outcome=timeout;pending_after=0;released=True;resolved_after_s=8.004;rss_after_mib=384.547;rss_base_mib=384.547;rss_peak_mib=386.547,StressMemoryEventTests/testP0_3_MoreAggregationWithoutTerminalFrame | logs/ios/02_p0.log
P0-3b-getfaces-paging-advancing,BoardConnection.getFaces,board sets MORE on every page (4092B/page),-,FAIL,final=cancelled;footprint_delta_mib=17.875;last_offsets=20803728|20807820|20811912;round_trips=5087;seconds=0.254;still_looping_at_watchdog=True;stopped_by_cancel=True,StressMemoryEventTests/testP0_3b_GetFacesPagingWithoutEnd | logs/ios/02_p0.log
P0-3b-getfaces-paging-stalled,BoardConnection.getFaces,"board sets MORE on every page (0B/page, offset never advances)",-,FAIL,final=cancelled;footprint_delta_mib=3.188;last_offsets=0|0|0;round_trips=5092;seconds=0.222;still_looping_at_watchdog=True;stopped_by_cancel=True,StressMemoryEventTests/testP0_3b_GetFacesPagingWithoutEnd | logs/ios/02_p0.log
P0-4-slow-event-subscriber,BoardConnection.events AsyncStream,"50000 EV_LOG (~200B) per phase, subscriber paused then resumed; unsubscribe while buffered",-,FAIL,approx_bytes_per_buffered_event=1208.812;control_footprint_delta_mib=0;drained_after_resume=50000;dropped=0;elements_drained_after_unsubscribe=50000;footprint_after_drain_delta_mib=47;footprint_after_release_delta_mib=-52.594;footprint_buffered_before_unsubscribe_delta_mib=-0.016;iteration_terminated_after_unsubscribe=False;paused_footprint_delta_mib=57.641;paused_rss_mib=450.141;pump_ms=220.973;subscribers_after_break=1;subscribers_after_unsubscribe=0,StressMemoryEventTests/testP0_4_SlowEventSubscriber | logs/ios/02_p0.log
P0-0-constants,BoardConnection,static,-,PASS,blob_depth=4;blob_ms=0;command_depth=4;command_ms=120;frame_depth=6;frame_ms=20;handshake_timeout_s=5;max_reconnect_attempts=5;more_cap_properties=none;output_depth=64;output_ms=0,StressSequenceTests/testP0_0_ConstantsMatchBrief | logs/ios/02_p0.log
P0-1-seq-exhaustion-254,BoardConnection.nextSequenceNumber,"254 concurrent PING, replies withheld",-,PASS,completed=254;distinct_seqs=254;double_resumes=0;duplicate_seq_writes=0;hung=0;hung_after_disconnect=0;hung_after_task_cancel=0;matched=254;mismatched_payload=0;outstanding=254;pending_after_issue=254;start_seq=7;timeouts=0;written=254,StressSequenceTests/testP0_1_SequenceExhaustion | logs/ios/02_p0.log
P0-1-seq-exhaustion-255,BoardConnection.nextSequenceNumber,"255 concurrent PING, replies withheld",-,PASS,completed=255;distinct_seqs=255;double_resumes=0;duplicate_seq_writes=0;hung=0;hung_after_disconnect=0;hung_after_task_cancel=0;matched=255;mismatched_payload=0;outstanding=255;pending_after_issue=255;start_seq=7;timeouts=0;written=255,StressSequenceTests/testP0_1_SequenceExhaustion | logs/ios/02_p0.log
P0-1-seq-exhaustion-256,BoardConnection.nextSequenceNumber,"256 concurrent PING, replies withheld",-,FAIL,completed=255;distinct_seqs=255;double_resumes=0;duplicate_seq_writes=1;hung=1;hung_after_disconnect=1;hung_after_task_cancel=1;matched=254;mismatched_payload=1;outstanding=256;pending_after_issue=255;start_seq=7;timeouts=0;written=256,StressSequenceTests/testP0_1_SequenceExhaustion | logs/ios/02_p0.log
P0-1-seq-exhaustion-512,BoardConnection.nextSequenceNumber,"512 concurrent PING, replies withheld",-,FAIL,completed=255;distinct_seqs=255;double_resumes=0;duplicate_seq_writes=257;hung=257;hung_after_disconnect=257;hung_after_task_cancel=257;matched=0;mismatched_payload=255;outstanding=512;pending_after_issue=255;start_seq=7;timeouts=0;written=512,StressSequenceTests/testP0_1_SequenceExhaustion | logs/ios/02_p0.log
P0-2-late-reply-quarantine,BoardConnection.route/quarantine,"2 modes x 8 delays, seq forced to wrap onto stale seq",-,FAIL,"cycles_with_wrap=16;rows=timeout@0.11s:sameSeq=false,q=true,stale=false timeout@0.53s:sameSeq=false,q=true,stale=false timeout@1.03s:sameSeq=false,q=true,stale=false timeout@1.52s:sameSeq=false,q=true,stale=false timeout@1.84s:sameSeq=false,q=true,stale=false timeout@2.25s:sameSeq=true,q=false,stale=true timeout@2.65s:sameSeq=true,q=false,stale=true timeout@3.05s:sameSeq=true,q=false,stale=true cancel@0.11s:sameSeq=false,q=true,stale=false cancel@0.52s:sameSeq=false,q=true,stale=false cancel@1.03s:sameSeq=false,q=true,stale=false cancel@1.53s:sameSeq=false,q=true,stale=false cancel@1.84s:sameSeq=false,q=true,stale=false cancel@2.25s:sameSeq=true,q=false,stale=true cancel@2.64s:sameSeq=true,q=false,stale=true cancel@3.05s:sameSeq=true,q=false,stale=true;stale_delivered_after_2s=6;stale_delivered_inside_2s=0",StressSequenceTests/testP0_2_LateRepliesAcrossQuarantineAndWrap | logs/ios/02_p0.log
P0-2b-late-reply-across-reconnect,BoardConnection.failAllPending/route,"1 in-flight PING, carrier drop, same transport reconnect, seq wrapped onto old seq",-,FAIL,new_seq=7;old_result=notConnected;old_seq=7;old_seq_quarantined_after_reconnect=False;reconnected=True;seconds_since_disconnect=0.11;stale_on_new_link_delivered=True;stale_on_old_stream_delivered=False,StressSequenceTests/testP0_2b_LateReplyAcrossDisconnectReconnect | logs/ios/02_p0.log
P0-2c-default-timeout,BoardConnection.send,1 PING withheld,-,PASS,elapsed_s=5.044;error=timeout,StressSequenceTests/testP0_2c_DefaultRequestTimeoutIsFiveSeconds | logs/ios/02_p0.log
IOS-DRAFT-ADOPT-1,ControlViewModel.adoptBoardFrameIfUntouched (ControlViewModel.swift:497-516),"33 toggles, send (synced), board shows 7-lit frame",-,FAIL,"paths_destroying_drawing=2;rows=adoptBoardFrameIfUntouched:synced=true,lit=53,undoBefore=true,diskBefore=drawing,mem=board,disk=board,undoAfter=false,unsent=false ; refreshBoardDisplay(getFrame):synced=true,lit=53,undoBefore=true,diskBefore=drawing,mem=board,disk=board,undoAfter=false,unsent=false",StressDraftAdoptTests/testIOSDraftAdopt1_SyncedDrawingReplacedByBoardFrame | logs/ios/07_faults_boundary_adopt.log
IOS-DRAFT-ADOPT-2,"ControlViewModel.init/restoreDraft/adopt (ControlViewModel.swift:95-122,167-183,497)",draft D on disk; adopt(B) 0/300 ms before restoreDraft,-,FAIL,"restored_draft_marked_unsent=2;rows=delay0ms:unsentAtInit=false,diskBeforeRestore=drawing,mem=drawing,disk=drawing,unsentAfterRestore=true ; delay300ms:unsentAtInit=false,diskBeforeRestore=board,mem=board,disk=board,unsentAfterRestore=true;runs_losing_D=1",StressDraftAdoptTests/testIOSDraftAdopt2_AdoptionBeforeRestoreDraft | logs/ios/07_faults_boundary_adopt.log
IOS-DRAFT-ADOPT-3,SwiftUI TabView .task(id:) as in ControlView.swift:70-77,"50 ms poll loop; tab A visible 1 s, hidden 3 s (steady-state window 2-3 s), visible 1 s",-,PASS,control_view_task_id_has_tab_term=False;last_tick_ms_after_switch=667.132;started=True;task_cancellations_on_hide=1;ticks_hidden_steady_2_3s=0;ticks_in_first_2s_after_switch=13;ticks_revisible_1s=19;ticks_visible_1s=20,StressDraftAdoptTests/testIOSDraftAdopt3_HiddenTabPollingTask | logs/ios/07_faults_boundary_adopt.log
