case_id,category,entry,source_board,target_board,target_state,action,ms_from_switch,count,seed,result,evidence
DB-SW-05-setup,DB-SW,E3 saved row,A,B,offline,connect B from 已儲存 row,,1,,PASS,B get_info @1789280587; A no disconnect; app shows B 99% 34/370
DB-SW-04,DB-SW,E2 Control Center 面板,B,A,online in other session,select A in menu,,1,,PASS,tap @~1789280668; A: no BLE connect/subscribe/get_info after tap; B: no disconnect; app active A 97% 已同步 (serial logs board_5AE70745091_r2.log / board_5AE70735521.log)
DB-SW-04-list,DB-SW,E2,B,A,online,控制对象 list after menu switch,,1,,PASS,"2 块在线: RinaBoard-80B54EF48E09 (checked) + RinaBoard-80B54EF74801; distinct, no duplicate (INV-2)"
DB-ID-06-1,DB-ID,E3 saved row after E2 switch,A,B,online in other session,tap saved B row,,1,,PASS,tap @~1789280806; app active B 99% 已同步; B: no new connect/subscribe/get_info; A: no disconnect (DB-BUG-2 regression fixed)
DB-ID-01-xcuitest,DB-ID,R1 via XCUITest,,,,testConnectAllDiscoveredBoards,,1,20260913,BLOCKED,"runner exit 74 before bootstrap (logs/xcuitest/smoke-connectall.log, .xcresult); needs UI Automation enabled on iPhone"
DB-ID-01-xcuitest-retries,DB-ID,R1 via XCUITest,,,,testConnectAllDiscoveredBoards,,8,20260913,BLOCKED,"runs 1-8 all refused by device testmanagerd after ~18 s (exit 74); hosted unit tests pass on device; UI Automation ON; not Device Hub, not stale build, not xcode-select, not lock state"
DB-FQ-01,DB-FQ,Q1 devicectl SIGKILL + relaunch,,B,app connected to B,force-quit/relaunch loop,,20,20260913,PASS,"RECOVERY-FQ.csv: 20/20 PASS; pid changed every cycle (1694->1737); B reconnect p50 982 ms, min 802, max 1479; per cycle B disconnect=1 connect=1 subscribe=1 (no dup session); A untouched (0 events; app auto-connects only lastSeen board per E4); no RinaBoard crash reports"
DB-RB-validate-B2,DB-RB,B2 serial RTS reset,,B,app connected to B,single __reset__ on B,,1,20260913,PASS,rst:0x1 POWERON boot:0x2b SPI_FAST_FLASH_BOOT (not download mode); boot ready 914 ms; BLE connect 3173 ms after reset; subscribe=1; A undisturbed; USB port stayed (no PORT_GONE)
DB-RB-02,DB-RB,B2 serial RTS reset,,A|B random,phone connected to B only,12-cycle random reset loop,,12,20260913,PASS,"RECOVERY-RB.csv: 12/12 PASS (+1 validation). Reboot marker 722-1561 ms (p50 1393) after reset. B resets (7): reconnect 3031-3428 ms (p50 3199), subscribe=1 each. A resets (6, not connected): B undisturbed (0 disconnects). App pid 1737 constant (no crash). USB ports never dropped"
DB-SW-05-2,DB-SW,E3 saved row,B,A,offline,tap saved A row with B connected,,1,,PASS,"A BLE connect @1789283581.966, subscribe+get_info @582-583; B no disconnect; app active A 97% 已同步 -> 2 boards online"
DB-RB-02-twolink,DB-RB,B2 serial RTS reset,A active,A|B random,both boards connected,10-cycle random reset loop,,10,20260914,PASS,RECOVERY-RB.csv seed 20260914: 10/10 PASS. A resets 3: reconnect 3015-3396 ms; B resets 7: reconnect 3055-3325 ms; each reset board subscribe=1; non-reset board 0 disconnects; app pid 1737 constant
DB-RB-02-twolink-ui,DB-RB,UI check after two-link reset loop,A active,,both connected,控制对象 list,,1,,PASS,"2 块在线: RinaBoard-80B54EF74801 + RinaBoard-80B54EF48E09 (checked, active); no duplicate rows; active stayed A through 3 A-resets (R2 no auto-switch); status 已连接 -42 dBm"
DB-S-05-lite-RB,DB-S,B2 resets in mixed soak,,A|B random,varies (after force-quits only A reconnects),3 rounds x 8 resets,,24,2026091501-03,PASS,"RECOVERY-RB-soak.csv 24/24 PASS; A 10 resets all connected before, all reconnected 3034-3357 ms; B 14 resets, 5 connected before, 5 reconnected 3007-3321 ms; reboot marker 1365-1562 ms; others never disturbed"
DB-S-05-lite-FQ,DB-S,Q1 force-quit in mixed soak,,A,A lastSeen,3 rounds x 3 force-quits,,9,2026091501-03,PASS,RECOVERY-FQ-soak.csv 9/9 PASS; A reconnect 833-1136 ms (p50 964); no crash reports
DB-S-05-lite-health,DB-S,board health over run,,A;B,,serial logs 5h39m,,1,,PASS,"rst: count == __reset__ count (A 19, B 28) -> no unexpected reboots; no STALL/PORT_GONE/panic/WDT; heapFree min 88908-88972, back to 90780-90836; refreshFail max 0"
DB-OUT-01-burst1,DB-OUT,E1 控制对象 rows,B->A->B->A->B->A,A|B,A firmware text scroll 325f@100ms loop; B idle; both online,5 switches (4 s dwell),,5,,PASS,"window 1789301400-456: A commands only get_info x6, no SCROLL stop/pause/start, no BLE disconnect; A ticks 57 over 56.0 s = 10.00 fps, tick gaps all 1000 ms (0 drift); B commands only get_info x4, no scroll cmds, no BLE events; app on A shows 播放中 288/325 synced; 控制对象 2 online distinct"
DB-OUT-01-burst2,DB-OUT,E1 控制对象 rows,A->B->A->B->A->B,A|B,A firmware text scroll running; both online,5 switches (4 s dwell),,5,,PASS,"window 1789301456-510: A commands only get_info x4, no SCROLL stop/pause/start, no BLE events; A ticks 55 over 54.0 s = 10.00 fps, gaps all 1000 ms; B commands only get_info x6, no scroll cmds, no BLE events; final B active 34/370 已同步; 控制对象 2 online distinct"
DB-RB-03-A-scroll,DB-RB,B2 reset,B active,A,A firmware text scroll running; both online,__reset__ A during scroll,,1,,PASS,"@1789301541: rst POWERON SPI_FAST_FLASH_BOOT at +0.45 s, boot ready +1.47 s, BLE reconnect +3.30 s, subscribe +4.32 s; after reboot A is mode=manual playback=idle lit=34 startup face (scroll not resumed after reboot: firmware does not persist scroll); B no commands, no BLE events"
DB-RB-03-A-switchback,DB-RB,E1 switch to A after reboot,B,A,A rebooted (scroll lost),tap A row then 文字滚动 tab,,1,,PASS-with-UX-note,"app routed to 表情显示 A 34/370 已同步 (correct); A received only get_info; B none. 文字滚动 tab shows status 閒置 (correct) BUT keeps stale local timeline 影格 142/325, slider 00:14/00:32, preview 'Dこ', play enabled, while board shows startup face -> checking what play does"
DB-RB-03-A-replay,DB-RB,文字滚动 play after reboot,A,A,A idle after reboot; app shows stale 142/325,tap play,,1,,PASS,"A: set_scroll_loop +2.24 s, [SCROLL] start count=325 interval_ms=100 +2.85 s (timeline re-sent and restarted from frame 0); app 播放中 53/325 synced; B no commands. UX-LOW: before play the tab kept the stale pre-reboot position 142/325 and preview while the board showed its startup face"
DB-FQ-02-A-scroll,DB-FQ,Q1 force-quit during playback,A active (scrolling),,A firmware scroll running; B online,3 force-quits,,3,20260916,PASS,"@1789301655 RECOVERY-FQ-playback.csv 3/3 PASS, no crash reports; A received 0 commands and no SCROLL stop/pause during 129 s; scroll continuity confirmed after loop: STATUS playback=scroll, accepted 1943->1981 in 3.9 s, trace ticks +10 idx per 1.0 s (A trace level had reset at the DB-RB-03 reboot, re-enabled). OBSERVATION: after each relaunch the app auto-reconnected B (1004-1496 ms), not A (the board being controlled); A stayed disconnected from +11.0 s"
DB-SW-05-3,DB-SW,E3 saved row,B,A,offline (after FQ-02),tap saved A row while A firmware scroll running,,1,,PASS,"A BLE connect @1789301882.438, subscribe + get_info x3 only (no stop/start/set_scroll); A scroll ticks continued; app 文字滚动 shows 播放中 190/325 synced; B idle no events"
DB-RT-03,DB-RT,E1 select B + Faces live preview,A,B,both online; A firmware scroll running,3 LED taps on B,,3,,PASS,"B accepted 1->4 (+3 = taps) lastReason=custom_live_send, playback idle, editor 37/370 已同步; A accepted rose only at scroll rate (3300->3402 in 10.2 s) lastReason=firmware_text_scroll_start, playback=scroll, no commands (INV-1 zero cross-routing)"
DB-RT-02,DB-RT,Control Center accessory ›,A,B,both online; A firmware scroll running; B active,2 next-face taps,,2,,PASS,"B: 2x PROTO name=button, FACE apply idx=9/11 then 10/11 (reason rinalink_B1_next_saved_face), STATUS faceIndex 7->9, playback idle; each button preceded by SCROLL stop stopped=0 (no-op); A: no commands, faceIndex 7 unchanged, playback=scroll; no flash writes (faceIndex not in runtime_settings.json)"
DB-ST-03,DB-ST,Control Center brightness drag + immediate 面板 switch,B,A,both online; A scrolling,drag brightness then select A within ~0.7 s,,1,,PASS,"@1789302097: B brightness 50->108 (drag applied to B); A brightness 50 in all samples before/after (no pending value leaked to A); app switched to A (97%, 文字滚动 播放中 278/325). Note: set_brightness is not logged as PROTO command, evidence via STATUS only. SIDE EFFECT: B left at brightness 108 (to restore to 50)"
DB-RT-01-brightness,DB-RT,Control Center 面板 select B + brightness slider,A,B,both online; A scrolling,drag brightness on B,,1,,PASS,"@1789302178: B brightness 108->33 (applied to B); A brightness 50 in all samples (-13..+15 s); no flash write (brightness not persisted)"
DB-RB-01-B-restore,DB-RB,B2 reset (restore brightness),B active,B,both online; A scrolling; B brightness 62,__reset__ B,,1,,PASS,"@1789302297: rst +0.55 s, boot ready +1.78 s, BLE reconnect +3.61 s, subscribe +4.83 s; B brightness back to default 50 (not persisted); A playback=scroll brightness 50 unchanged; app B 已同步. Side effect resolved"
